city,location,price,bedrooms,baths,size,year,source
Lahore,"DHA Phase 7 - Block X, DHA Phase 7",73500000.0,6,7,4500.0,2025,live
Lahore,"DHA Phase 8 - Block Y, DHA Phase 8",26500000.0,3,4,1125.0,2025,live
Lahore,"Bahria Orchard, Lahore",36000000.0,5,6,2250.0,2025,live
Lahore,"Bahria Orchard, Lahore",16800000.0,3,4,1125.0,2025,live
Lahore,"Bahria Orchard, Lahore",17000000.0,3,4,1125.0,2025,live
Lahore,"DHA Phase 7 - Block Y, DHA Phase 7",127500000.0,6,7,9000.0,2025,live
Lahore,"Bahria Orchard, Lahore",12000000.0,3,3,1125.0,2025,live
Lahore,"Bahria Orchard, Lahore",11500000.0,3,3,1125.0,2025,live
Lahore,"Askari 10 - Sector S, Askari 10",50000000.0,4,5,2745.0,2025,live
Lahore,"Askari 10 - Sector F, Askari 10",38500000.0,3,3,2452.0,2025,live
Lahore,"Askari 10 - Sector S, Askari 10",38000000.0,3,0,2452.0,2025,live
Lahore,"Askari 10 - Sector S, Askari 10",38000000.0,3,3,2452.0,2025,live
Lahore,"Bahria Town - Gulmohar Block, Bahria Town - Sector C",33500000.0,5,6,2250.0,2025,live
Lahore,"Eden Residencia, Eden",17000000.0,3,4,900.0,2025,live
Lahore,"DHA 9 Town - Block A, DHA 9 Town",32500000.0,3,3,1125.0,2025,live
Lahore,"Lake City - Sector M7 - Block C1, Lake City - Sector M-7",27500000.0,4,4,1125.0,2025,live
Lahore,"Central Park Housing Scheme, Lahore",42500000.0,5,7,2250.0,2025,live
Lahore,"Central Park Housing Scheme, Lahore",23500000.0,3,4,1125.0,2025,live
Lahore,"LDA Avenue, Lahore",35000000.0,6,6,2250.0,2025,live
Lahore,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal",21000000.0,5,5,1125.0,2025,live
Lahore,"Bahria Town - Sector E, Bahria Town",28000000.0,3,4,1125.0,2025,live
Lahore,"Bahria Town - Sector C, Bahria Town",48000000.0,5,6,2250.0,2025,live
Lahore,"Military Accounts Housing Society, Lahore",14500000.0,4,3,900.0,2025,live
Lahore,"Fateh Garh, Lahore",8500000.0,3,3,518.0,2025,live
Lahore,"New Lahore City - Phase 2, New Lahore City",16000000.0,3,3,1125.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",66000000.0,6,6,4500.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",145000000.0,5,7,4500.0,2025,live
Lahore,"Lake City, Raiwind Road",29000000.0,5,5,1575.0,2025,live
Lahore,"Lake City, Raiwind Road",20100000.0,3,3,1125.0,2025,live
Lahore,"Lake City, Raiwind Road",20300000.0,3,3,1125.0,2025,live
Lahore,"Lake City, Raiwind Road",29500000.0,5,5,1575.0,2025,live
Lahore,"DHA Phase 7 - Block U, DHA Phase 7",85000000.0,5,6,4500.0,2025,live
Lahore,"Lake City, Raiwind Road",55000000.0,5,6,2925.0,2025,live
Lahore,"DHA Phase 7 - Block S, DHA Phase 7",75000000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 4, DHA Defence",72500000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",63500000.0,5,6,4500.0,2025,live
Lahore,"Bahria Town - Rafi Block, Bahria Town - Sector E",41000000.0,4,5,2250.0,2025,live
Lahore,"Sukh Chayn Gardens, Lahore",71500000.0,4,5,4500.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",400000000.0,5,6,9000.0,2025,live
Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",3485000.0,0,1,270.0,2025,live
Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",3485000.0,1,1,315.0,2025,live
Lahore,"Jubilee Town, Lahore",33500000.0,5,6,2250.0,2025,live
Lahore,"Eden Boulevard Housing Scheme, College Road",23000000.0,5,6,1125.0,2025,live
Lahore,"Bismillah Housing Scheme, GT Road",21500000.0,4,5,1125.0,2025,live
Lahore,"Al-Ahmad Garden Housing Scheme, GT Road",17500000.0,4,5,1125.0,2025,live
Lahore,"Al-Ahmad Garden Housing Scheme, GT Road",13000000.0,3,4,900.0,2025,live
Lahore,"DHA Phase 3, DHA Defence",65000000.0,5,6,4500.0,2025,live
Lahore,"Lake City, Raiwind Road",105000000.0,6,6,4500.0,2025,live
Lahore,"Lake City, Raiwind Road",120000000.0,8,6,4500.0,2025,live
Lahore,"Lake City, Raiwind Road",21500000.0,4,4,1125.0,2025,live
Lahore,"Lake City, Raiwind Road",22000000.0,3,3,1575.0,2025,live
Lahore,"Lake City, Raiwind Road",30500000.0,5,5,1575.0,2025,live
Lahore,"Lake City, Raiwind Road",33500000.0,5,6,1575.0,2025,live
