city,location,price,bedrooms,baths,size,year,source,location_clean,location_standardized
Multan,"Wapda Town Phase 2, Wapda Town",18500000.0,3.0,3.0,1125.0,2025,live,"wapda town phase 2, wapda town",Wapda Town Phase 2
Multan,"Royal Orchard, Multan Public School Road",38000000.0,5.0,5.0,2250.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Multan Public School Road, Multan",13000000.0,3.0,3.0,900.0,2025,live,"multan public school road, multan",Multan Public School Road
Multan,"Garden Town, Multan",10500000.0,4.0,4.0,1125.0,2025,live,"garden town, multan",Garden Town
Multan,"Wapda Town Phase 1, Wapda Town",41000000.0,6.0,6.0,2250.0,2025,live,"wapda town phase 1, wapda town",Wapda Town Phase 1
Multan,"Royal Orchard, Multan Public School Road",14000000.0,4.0,5.0,1125.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Askari 3, DHA Defence",32500000.0,4.0,4.0,2700.0,2025,live,"askari 3, dha defence",Askari 3
Multan,"Buch Executive Villas, Multan",29000000.0,6.0,7.0,1688.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Shah Rukn-e-Alam Colony, Multan",29500000.0,6.0,6.0,2475.0,2025,live,"shah rukn-e-alam colony, multan",Shah Rukn-E-Alam Colony
Multan,"Royal Orchard, Multan Public School Road",14200000.0,4.0,4.0,1125.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Gulgasht Colony, Multan",15000000.0,4.0,5.0,1125.0,2025,live,"gulgasht colony, multan",Gulgasht Colony
Multan,"Grand Enclave, Northern Bypass",15500000.0,4.0,5.0,1125.0,2025,live,"grand enclave, northern bypass",Grand Enclave
Multan,"Buch Executive Villas, Multan",30000000.0,5.0,6.0,1575.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",39000000.0,6.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",17000000.0,4.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",17000000.0,3.0,4.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",17000000.0,5.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",27000000.0,5.0,6.0,1800.0,2025,live,"buch executive villas - phase 2, buch executive villas",Buch Executive Villas - Phase 2
Multan,"Wapda Town Phase 2, Wapda Town",23500000.0,4.0,4.0,1688.0,2025,live,"wapda town phase 2, wapda town",Wapda Town Phase 2
Multan,"Fort Avenue, Multan",16000000.0,3.0,3.0,1575.0,2025,live,"fort avenue, multan",Fort Avenue
Multan,"Buch Executive Villas, Multan",17000000.0,4.0,4.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Garden Town, Multan",21000000.0,3.0,4.0,3375.0,2025,live,"garden town, multan",Garden Town
Multan,"Bosan Road, Multan",11500000.0,3.0,3.0,1350.0,2025,live,"bosan road, multan",Bosan Road
Multan,"Royal Orchard - Block E, Royal Orchard",35000000.0,5.0,5.0,2250.0,2025,live,"royal orchard - block e, royal orchard",Royal Orchard - Block E
Multan,"Buch Executive Villas, Multan",9000000.0,2.0,3.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Citi Housing Phase 1, Citi Housing",30000000.0,5.0,6.0,2250.0,2025,live,"citi housing phase 1, citi housing",Citi Housing Phase 1
Multan,"Buch Executive Villas Extension, Buch Executive Villas",18500000.0,5.0,6.0,1125.0,2025,live,"buch executive villas extension, buch executive villas",Buch Executive Villas Extension
Multan,"Buch Executive Villas, Multan",26000000.0,7.0,6.0,1800.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",15000000.0,4.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",13800000.0,4.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",18700000.0,4.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",14400000.0,4.0,5.0,1238.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",38000000.0,6.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",16500000.0,4.0,5.0,1012.0,2025,live,"buch executive villas, multan",Buch Executive Villas
